City,Store,Business Area,Main category,Sub category,Product,Discrepancy. pcs,Discreapancy. EUR
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7637315 Dress Ronja:Black:L, 1,8.85
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7654425 Dress Lene:Black:Xs, 1,5.98
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7654434 Dress Lene:Dusty Blue:L, 1,5.98
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7656941 Dress Idun:Black:S,- 1,-18.78
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7656942 Dress Idun:Black:M,- 1,-18.78
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7671418 Dress Inger:Dark Blue:L,- 1,-5.81
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7718683 Dress Aurora:Light White:M,- 1,-8.70
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7721318 Dress Alexandra:Dark Navy:M,- 1,-5.52
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7728437 Dress Berta Embroidery:Lt Dusty Khaki:L,- 1,-9.93
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7736537 Dress Zofia:Dark Blue:Xs,- 1,-8.61
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7747548 Dress Marsielle:Black:M,- 1,-9.30
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7747549 Dress Marsielle:Black:L,- 1,-9.30
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7753645 Dress Berta:Dark Blue:Xl, 1,6.48
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7753646 Dress Berta:Dusty Blue:Xs,- 1,-9.94
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7766320 Dress Berta:Grey:Xl,- 1,-6.25
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7770724 Dress Idde:Black:L,- 1,-5.27
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7770725 Dress Idde:Black:Xl,- 3,-16.20
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7806001 Dress Elna:Dark Lilac:Xs, 1,5.21
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7807081 Dress Zofia Speed:Black:802,- 1,-9.45
Tallinn,501 Ulemiste,01 Womens Wear,101 LW Dress,1010 Easy Dress,7807997 Dress Juliette Speed:Black:Xl, 1,10.25
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1000 Easy Shorts,7547999 Shorts Denim Sara Dk Wash:Denim:34, 1,7.39
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1000 Easy Shorts,7719666 Shorts Jill Aop:Red:M, 1,3.11
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,5861627 Leggings Vigor:Black:801,- 1,-3.04
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,5861629 Leggings Vigor:Black:803, 1,2.97
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,5861630 Leggings Vigor:Black:804, 1,3.02
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,6228602 Leggings Vigor:Black:800, 1,2.91
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7463563 Leggings Vigor:Black:805,- 2,-5.94
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7463564 Leggings Vigor:Black:806, 1,3.03
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7626544 Leggings Vigor Basic Space:Dark Greymelange:S, 1,4.12
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7649556 Trousers Miranda:Dark Dusty Pink:S,- 2,-13.41
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7649557 Trousers Miranda:Dark Dusty Pink:M,- 1,-6.70
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7649558 Trousers Miranda:Dark Dusty Pink:L,- 3,-20.13
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7649559 Trousers Miranda:Dark Dusty Pink:Xl,- 1,-6.71
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7649560 Trousers Miranda:Dark Dusty Pink:Xxl,- 2,-13.41
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7708376 Trouser Mary:Black:M,- 1,-4.37
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7708379 Trouser Mary:Black:Xxl,- 1,-4.40
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7723631 Leggings Vigge:Black:M, 1,2.44
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7735711 Leggings Sally Lace Short:Black:M,- 1,-2.27
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7735714 Leggings Sally Lace Short:Black:Xxl, 1,2.27
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1020 Easy Jersey Trouser,7786091 Leggings Vigor Basic Grey:Dark Greymelange:Xl,- 1,-3.94
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7532436 Trousers Ava:Black:804, 1,4.34
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7600361 Trousers Maia:Black:38,- 3,-20.16
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7600362 Trousers Maia:Black:40,- 2,-12.93
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7600363 Trousers Maia:Black:42, 2,13.50
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7600364 Trousers Maia:Black:44,- 1,-6.47
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7600404 Trousers Ava Aop:Navy:S, 1,5.71
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7652849 Trouser Lykke Velvet:Black:44,- 1,-10.38
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7700964 Trouser Denim Chloe:Light Denim:Xs,- 1,-9.39
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7700965 Trouser Denim Chloe:Light Denim:S, 1,9.39
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7725809 Trousers Ava Aop:Dark Blue:M,- 1,-4.80
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7740848 Trouser Ava Viscose Aop:Black:M,- 1,-4.99
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7740849 Trouser Ava Viscose Aop:Black:L,- 1,-4.99
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7740850 Trouser Ava Viscose Aop:Black:Xl,- 2,-9.98
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7740851 Trouser Ava Viscose Aop:Black:Xxl,- 1,-4.99
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7746313 Trousers Diana:Offblack:40, 1,8.26
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7746321 Trousers Diana:Dusty Blue:40,- 1,-8.61
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7746322 Trousers Diana:Dusty Blue:42, 1,8.61
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7755439 Trouser Ava Rayon:Navy:Xl, 1,7.88
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7770846 Trousers Ava Otto:Black:S,- 1,-5.97
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7770849 Trousers Ava Otto:Black:Xl,- 2,-11.33
Tallinn,501 Ulemiste,01 Womens Wear,102 LW Trousers/Shorts,1021 Easy Trousers,7785899 Trousers Vera Coated:Black:38,- 1,-12.12
Tallinn,501 Ulemiste,01 Womens Wear,103 LW Skirt,1031 Easy Skirt,7628972 Skirt Elvira:Black:S, 1,4.15
Tallinn,501 Ulemiste,01 Womens Wear,103 LW Skirt,1031 Easy Skirt,7726460 Skirt Madeira Visocse Aop:Dark Blue:S,- 1,-9.56
Tallinn,501 Ulemiste,01 Womens Wear,103 LW Skirt,1031 Easy Skirt,7795202 Skirt Melou Velvet Aop:Black:S,- 1,-9.03
